export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 800 score=0.098 win[norm/hard/imp]=0.00/0.12/0.00 poss_hard=0.36 pass_hard=0.00
ppo: SHIPPED new best (score 0.098) -> /home/jack/Desktop/hax/haxball-clone/internal/policy/weights/neural_v1.bin
ppo: upd 805 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.632 t=1044s
ppo: upd 810 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.152 t=1052s
ppo: upd 815 rew/step=-0.0003 pi=0.000 v=0.001 ent=1.580 t=1061s
ppo: upd 820 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.441 t=1069s
ppo: upd 825 rew/step=-0.0002 pi=-0.006 v=0.003 ent=1.287 t=1078s
ppo: upd 830 rew/step=-0.0003 pi=-0.002 v=0.001 ent=1.479 t=1086s
ppo: upd 835 rew/step=-0.0002 pi=-0.008 v=0.001 ent=1.114 t=1095s
ppo: upd 840 rew/step=-0.0002 pi=-0.005 v=0.001 ent=1.256 t=1103s
ppo: upd 845 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.136 t=1112s
ppo: upd 850 rew/step=-0.0003 pi=-0.003 v=0.002 ent=1.495 t=1120s
ppo: upd 855 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.468 t=1130s
ppo: upd 860 rew/step=-0.0002 pi=-0.006 v=0.001 ent=1.172 t=1139s
ppo: upd 865 rew/step=-0.0003 pi=-0.003 v=0.001 ent=1.716 t=1148s
ppo: upd 870 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.583 t=1156s
ppo: upd 875 rew/step=-0.0003 pi=-0.007 v=0.002 ent=1.602 t=1164s
ppo: upd 880 rew/step=-0.0003 pi=-0.007 v=0.002 ent=1.486 t=1172s
ppo: upd 885 rew/step=-0.0002 pi=-0.006 v=0.001 ent=1.380 t=1181s
ppo: upd 890 rew/step=-0.0011 pi=-0.007 v=0.004 ent=1.599 t=1189s
ppo: upd 895 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.607 t=1197s
ppo: upd 900 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.743 t=1206s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00900.bin (941716 bytes), parity skipped
ppo: added snapshot /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00900.bin; league: ['rule:easy 0.49@273', 'rule:normal 0.49@786', 'rule:hard 0.49@843', 'rule:impossible 0.48@853', 'frozen:snap_00300.bin 0.52@534', 'frozen:snap_00600.bin 0.45@167', 'frozen:snap_00900.bin -']
ppo: upd 905 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.770 t=1216s
ppo: upd 910 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.273 t=1224s
ppo: upd 915 rew/step=-0.0011 pi=-0.009 v=0.003 ent=1.947 t=1232s
ppo: upd 920 rew/step=-0.0003 pi=-0.006 v=0.000 ent=1.855 t=1241s
ppo: upd 925 rew/step=-0.0002 pi=-0.007 v=0.001 ent=1.667 t=1251s
ppo: upd 930 rew/step=-0.0003 pi=-0.006 v=0.000 ent=1.880 t=1259s
ppo: upd 935 rew/step=-0.0002 pi=-0.007 v=0.001 ent=1.491 t=1267s
ppo: upd 940 rew/step=-0.0003 pi=-0.004 v=0.000 ent=1.945 t=1272s
ppo: upd 945 rew/step=-0.0003 pi=-0.007 v=0.000 ent=1.581 t=1281s
ppo: upd 950 rew/step=-0.0003 pi=-0.002 v=0.001 ent=1.994 t=1290s
ppo: upd 955 rew/step=-0.0002 pi=-0.004 v=0.001 ent=1.907 t=1298s
ppo: upd 960 rew/step=-0.0002 pi=-0.002 v=0.001 ent=1.465 t=1308s
ppo: upd 965 rew/step=-0.0003 pi=-0.005 v=0.000 ent=1.946 t=1316s
ppo: upd 970 rew/step=-0.0003 pi=-0.002 v=0.000 ent=1.737 t=1324s
ppo: upd 975 rew/step=-0.0003 pi=-0.003 v=0.001 ent=1.681 t=1333s
ppo: upd 980 rew/step=-0.0002 pi=-0.005 v=0.001 ent=2.037 t=1342s
ppo: upd 985 rew/step=-0.0003 pi=-0.001 v=0.001 ent=1.476 t=1351s
ppo: upd 990 rew/step=-0.0002 pi=-0.007 v=0.001 ent=1.826 t=1361s
